0.146	0.730	0.033	0.007	0.200	11.472	0.126	7.222	0.07185228
0.148	0.740	0.033	0.007	0.198	11.321	0.123	7.071	0.069923448
0.15	0.750	0.032	0.006	0.195	11.174	0.121	6.924	0.068071253
0.152	0.760	0.032	0.006	0.193	11.030	0.118	6.780	0.06629169
0.154	0.770	0.031	0.006	0.190	10.891	0.116	6.641	0.064581008
0.156	0.780	0.031	0.006	0.188	10.754	0.114	6.504	0.0629357
0.158	0.790	0.030	0.006	0.185	10.621	0.111	6.371	0.061352475
0.16	0.800	0.030	0.006	0.183	10.491	0.109	6.241	0.05982825
0.162	0.810	0.030	0.006	0.181	10.365	0.107	6.115	0.058360128
0.164	0.820	0.029	0.006	0.179	10.241	0.105	5.991	0.05694539
0.166	0.830	0.029	0.006	0.177	10.120	0.102	5.870	0.055581478
0.168	0.840	0.029	0.006	0.175	10.002	0.100	5.752	0.054265986
0.17	0.850	0.028	0.006	0.173	9.887	0.098	5.637	0.05299665
0.172	0.860	0.028	0.006	0.171	9.774	0.096	5.524	0.051771336
0.174	0.870	0.028	0.006	0.169	9.664	0.094	5.414	0.05058803
0.176	0.880	0.027	0.005	0.167	9.556	0.093	5.306	0.049444835
0.178	0.890	0.027	0.005	0.165	9.451	0.091	5.201	0.048339957
0.18	0.900	0.027	0.005	0.163	9.348	0.089	5.098	0.047271704
0.182	0.910	0.026	0.005	0.161	9.247	0.087	4.997	0.046238473
0.184	0.920	0.026	0.005	0.160	9.148	0.085	4.898	0.045238752
0.186	0.930	0.026	0.005	0.158	9.051	0.084	4.801	0.044271106
0.188	0.940	0.026	0.005	0.156	8.956	0.082	4.706	0.043334178
0.19	0.950	0.025	0.005	0.155	8.864	0.081	4.614	0.042426681
0.192	0.960	0.025	0.005	0.153	8.773	0.079	4.523	0.041547396
0.194	0.970	0.025	0.005	0.152	8.684	0.077	4.434	0.040695164
0.196	0.980	0.025	0.005	0.150	8.596	0.076	4.346	0.039868888
0.198	0.990	0.024	0.005	0.149	8.511	0.074	4.261	0.039067524
TIP	1.000	0.024	0.005	0.147	8.427	0.073	4.177	0.03829008
